comparison,budget,n_pairs,wins,losses,ties,mean_diff,median_diff,std_diff,min_diff,max_diff,cohens_dz,rank_biserial,wilcoxon_p,n_nonzero
greedy_token_aware_vs_mmr,192,24,24,0,0,0.6386262984597123,0.5756572194397448,0.30042923104605085,0.1640426004305482,1.3945534825325012,2.1257129215959063,1.0,1.1920928955078125e-07,24
greedy_token_aware_vs_mmr,256,24,23,1,0,0.4516816368093713,0.36518913432955746,0.32358709939212027,-0.07553879916667894,1.2557381592690946,1.3958579858649651,0.9866666666666667,3.5762786865234375e-07,24
greedy_token_aware_vs_mmr,384,24,20,4,0,0.2305052719525216,0.2119176305830479,0.18504030303535615,-0.038942459225654424,0.5304014943540092,1.2457030612864828,0.9333333333333333,5.125999450683594e-06,24
greedy_token_aware_vs_mmr,512,24,20,4,0,0.12450883887941011,0.11885027503594747,0.1290291143196823,-0.03594592958688736,0.4412540409713981,0.9649670117933788,0.84,9.083747863769531e-05,24
greedy_token_aware_vs_mmr,768,24,20,4,0,0.1021410481519221,0.09243649551644917,0.10008734236784066,-0.03594592958688736,0.3751758672297001,1.0205191359416226,0.88,3.0159950256347656e-05,24
greedy_token_aware_vs_mmr,1024,24,20,4,0,0.09286352670557485,0.08384661646559821,0.0849509540043428,-0.03594592958688736,0.2384694930166007,1.0931428351096275,0.88,3.0159950256347656e-05,24
greedy_token_aware_vs_mmr,2048,24,20,4,0,0.09286352670557485,0.08384661646559821,0.0849509540043428,-0.03594592958688736,0.2384694930166007,1.0931428351096275,0.88,3.0159950256347656e-05,24
greedy_token_aware_vs_mmr,POOLED,216,195,21,0,0.3138350973086845,0.20571744926273805,0.31467857724606796,-0.07553879916667894,1.3945534825325012,0.9973195508103372,0.9604881379074928,1.9183164436017514e-34,216
greedy_token_aware_vs_greedy_objective,96,24,22,0,2,0.5282362635247408,0.4867352306842804,0.3067560477796258,0.0,1.3119428247213363,1.7220076583599322,1.0,4.0099648164691383e-05,22
greedy_token_aware_vs_greedy_objective,128,24,21,2,1,0.46859040998388085,0.4617447935044765,0.33448632615629087,-0.13084789514541617,1.1676702171564102,1.4009254589526299,0.9637681159420289,5.2280977592255825e-05,23
greedy_token_aware_vs_greedy_objective,192,24,18,3,3,0.12459459941213319,0.08401267454028116,0.16651492976686982,-0.09904306307435062,0.6808335542678834,0.7482488182085087,0.8441558441558441,0.0007018105126066012,21
greedy_token_aware_vs_greedy_objective,256,24,12,8,4,0.14241947976406658,0.018251200765371234,0.21805782865024295,-0.11153003722429311,0.6032918736338613,0.65312711148978,0.6095238095238096,0.016880932087628427,20
greedy_token_aware_vs_greedy_objective,384,24,10,14,0,0.014673673291690559,-0.005718644708395226,0.08445908794031472,-0.10347868502140045,0.286481074988842,0.17373705600586292,0.006666666666666667,0.9888126850128174,24
greedy_token_aware_vs_greedy_objective,512,24,2,21,1,-0.04572172467596832,-0.038823966309428304,0.039396993472729,-0.1377917408943179,0.01993486061692229,-1.160538423004724,-0.9565217391304348,5.950282644768789e-05,23
greedy_token_aware_vs_greedy_objective,768,24,2,21,1,-0.049783324962481855,-0.042823879048228264,0.04208952525431086,-0.1634203329682351,0.01993486061692229,-1.1827960677076772,-0.9565217391304348,5.950282644768789e-05,23
greedy_token_aware_vs_greedy_objective,1024,24,2,21,1,-0.049783324962481855,-0.042823879048228264,0.04208952525431086,-0.1634203329682351,0.01993486061692229,-1.1827960677076772,-0.9565217391304348,5.950282644768789e-05,23
greedy_token_aware_vs_greedy_objective,2048,24,2,21,1,-0.049783324962481855,-0.042823879048228264,0.04208952525431086,-0.1634203329682351,0.01993486061692229,-1.1827960677076772,-0.9565217391304348,5.950282644768789e-05,23
greedy_token_aware_vs_greedy_objective,POOLED,216,91,111,14,0.12038252515701092,-0.0026433530263603178,0.2788719124513213,-0.1634203329682351,1.3119428247213363,0.431676765504394,0.22001658293908208,0.006698445910503818,202
