seed,beta_target,redundancy,accepted,beta_hat,D,pearson_r_relevance_tokens,spearman_rho_relevance_tokens,n_usable,n_below_threshold,n_relevance_clipped_low,n_relevance_clipped_high,relevance_mean,relevance_median,relevance_std,relevance_min,relevance_max,tokens_mean,tokens_std,tokens_min,tokens_max,tokens_cv,tokens_total,similarity_mean,similarity_std,similarity_min,similarity_max
3,2.0,low,True,1.940532607353575,0.14666666666666683,0.5178049551037639,0.6679492606776488,16,9,0,0,0.1394301971578306,0.12460946097526988,0.125230828808685,0.005831054972475972,0.43484760610601475,97.48,44.94915646223705,27,182,0.4611115763462972,2437,0.05188219627608592,0.13326271160800898,-0.27930451223905683,0.5027070065387366
3,2.0,high,True,1.940532607353575,0.14666666666666683,0.5178049551037639,0.6679492606776488,16,9,0,0,0.1394301971578306,0.12460946097526988,0.125230828808685,0.005831054972475972,0.43484760610601475,97.48,44.94915646223705,27,182,0.4611115763462972,2437,0.15013979639708122,0.25565029771632214,-0.21633732873901015,0.7921469047335699
4,-0.5,low,True,-0.4277486466308304,0.26666666666666683,-0.3338566555163741,-0.38853626415973114,11,14,0,0,0.07100499665410571,0.033918509777582026,0.07242799905131647,0.007899373967192732,0.28056151720133654,90.76,40.5136602477074,14,199,0.4463823297455641,2269,0.027993489171960886,0.12916845023436707,-0.3158673287615309,0.3470685252435323
4,-0.5,high,True,-0.4277486466308304,0.26666666666666683,-0.3338566555163741,-0.38853626415973114,11,14,0,0,0.07100499665410571,0.033918509777582026,0.07242799905131647,0.007899373967192732,0.28056151720133654,90.76,40.5136602477074,14,199,0.4463823297455641,2269,0.12017349450428043,0.2686277448790349,-0.22278300258324008,0.7641050226829625
4,0.0,low,True,0.07105763664417682,0.29333333333333345,-0.21649492959664945,-0.18849779152303786,10,15,0,0,0.07121953299173303,0.0366696381836025,0.07109336874770797,0.007368445078134647,0.29124295345264073,90.76,40.5136602477074,14,199,0.4463823297455641,2269,0.028046826554303905,0.12918281997444395,-0.31723152018164663,0.3466877088831475
4,0.0,high,True,0.07105763664417682,0.29333333333333345,-0.21649492959664945,-0.18849779152303786,10,15,0,0,0.07121953299173303,0.0366696381836025,0.07109336874770797,0.007368445078134647,0.29124295345264073,90.76,40.5136602477074,14,199,0.4463823297455641,2269,0.12022951232882742,0.26863704779972086,-0.22119753284838767,0.7628397676173031
4,0.5,low,True,0.5669926083158916,0.28000000000000014,-0.08917496265363936,0.020388536634124505,11,14,0,0,0.07155841261040875,0.04090639579927464,0.06766436811005043,0.0033007759349335483,0.2815522101160868,90.76,40.5136602477074,14,199,0.4463823297455641,2269,0.02813141710077847,0.12920217026820985,-0.31799606247559997,0.34644559643207934
4,0.5,high,True,0.5669926083158916,0.28000000000000014,-0.08917496265363936,0.020388536634124505,11,14,0,0,0.07155841261040875,0.04090639579927464,0.06766436811005043,0.0033007759349335483,0.2815522101160868,90.76,40.5136602477074,14,199,0.4463823297455641,2269,0.1203540729166323,0.2686658897778274,-0.2183551272286942,0.7618527746829242
4,1.0,low,True,1.0598666546720432,0.2466666666666668,0.08581068143193137,0.1904212383753138,14,11,0,0,0.07224458193185854,0.05328793036632994,0.06199984606565407,0.0016057522251202562,0.25228795634851836,90.76,40.5136602477074,14,199,0.4463823297455641,2269,0.028283571862657488,0.12920316690481037,-0.318430692871811,0.3464870735736354
4,1.0,high,True,1.0598666546720432,0.2466666666666668,0.08581068143193137,0.1904212383753138,14,11,0,0,0.07224458193185854,0.05328793036632994,0.06199984606565407,0.0016057522251202562,0.25228795634851836,90.76,40.5136602477074,14,199,0.4463823297455641,2269,0.1205716439392045,0.2686992527901314,-0.2131178412596238,0.761469490459129
4,1.5,low,True,1.514195866925467,0.2400000000000001,0.3710821743560641,0.4016157027552073,16,9,1,0,0.07416008119458808,0.05824809417273237,0.056121587951495494,0.001,0.20582333037733078,90.76,40.5136602477074,14,199,0.4463823297455641,2269,0.028627289651122906,0.12908706072139434,-0.3186644712565403,0.34696470165501514
4,1.5,high,True,1.514195866925467,0.2400000000000001,0.3710821743560641,0.4016157027552073,16,9,1,0,0.07416008119458808,0.05824809417273237,0.056121587951495494,0.001,0.20582333037733078,90.76,40.5136602477074,14,199,0.4463823297455641,2269,0.12095598258880282,0.2686248719131883,-0.20309392747435004,0.7620406059646554
4,2.0,low,True,1.8873987516101816,0.28000000000000014,0.7595378926840999,0.6635891640351844,16,9,1,0,0.07957348467678999,0.06420075782462642,0.05950764760093732,0.001,0.2200146713503695,90.76,40.5136602477074,14,199,0.4463823297455641,2269,0.029499920036675675,0.12855905650488944,-0.3187574623999771,0.3480136511237289
4,2.0,high,True,1.8873987516101816,0.28000000000000014,0.7595378926840999,0.6635891640351844,16,9,1,0,0.07957348467678999,0.06420075782462642,0.05950764760093732,0.001,0.2200146713503695,90.76,40.5136602477074,14,199,0.4463823297455641,2269,0.12169225319676907,0.26809268533458375,-0.19522168160015857,0.7639016345230786
5,-0.5,low,True,0.24538544880207724,0.3600000000000002,0.2047609173392045,0.11463743239564345,13,12,0,0,0.1350459311734794,0.0552197528924492,0.21135408124552754,0.003309137817786637,0.7418341877946174,81.88,33.612150580804354,33,174,0.4105050144211572,2047,0.052235016828661364,0.13737650616450459,-0.3762238763474424,0.5233560623316095
5,-0.5,high,True,0.24538544880207724,0.3600000000000002,0.2047609173392045,0.11463743239564345,13,12,0,0,0.1350459311734794,0.0552197528924492,0.21135408124552754,0.003309137817786637,0.7418341877946174,81.88,33.612150580804354,33,174,0.4105050144211572,2047,0.13664397408033183,0.2677979845735199,-0.27396271581528364,0.7887119603837667
5,0.0,low,True,0.7612816005860809,0.30666666666666687,0.28650818585091176,0.34275822907556486,13,12,0,1,0.1509320814177947,0.05469606592133432,0.2633089205899269,0.003566424800418017,0.95,81.88,33.612150580804354,33,174,0.4105050144211572,2047,0.053722607261898515,0.14055784528391507,-0.37422779925564004,0.8490267918108889
5,0.0,high,True,0.7612816005860809,0.30666666666666687,0.28650818585091176,0.34275822907556486,13,12,0,1,0.1509320814177947,0.05469606592133432,0.2633089205899269,0.003566424800418017,0.95,81.88,33.612150580804354,33,174,0.4105050144211572,2047,0.13323077513978343,0.26323218413111393,-0.2720849434868294,0.8535116167148701
5,0.5,low,True,1.2230979916607554,0.3021693113575843,0.33206034649779476,0.5238553289726818,14,11,0,2,0.15261129040098273,0.061348130148397274,0.2715589699218656,0.004276503870464811,0.95,81.88,33.612150580804354,33,174,0.4105050144211572,2047,0.05327152621945299,0.1411362464691159,-0.3719268273813439,0.9034653167701099
5,0.5,high,True,1.2230979916607554,0.3021693113575843,0.33206034649779476,0.5238553289726818,14,11,0,2,0.15261129040098273,0.061348130148397274,0.2715589699218656,0.004276503870464811,0.95,81.88,33.612150580804354,33,174,0.4105050144211572,2047,0.131688507010089,0.2625208034672632,-0.2699411968336094,0.9065665649778771
5,1.0,low,True,1.6683260041742125,0.2400000000000001,0.38872957959431353,0.6105020309123697,14,11,0,1,0.14926935172630595,0.054686697971206906,0.26290783212776797,0.005745690907693856,0.95,81.88,33.612150580804354,33,174,0.4105050144211572,2047,0.053251833574839785,0.13915626190786348,-0.369363921649741,0.8593629547682334
5,1.0,high,True,1.6683260041742125,0.2400000000000001,0.38872957959431353,0.6105020309123697,14,11,0,1,0.14926935172630595,0.054686697971206906,0.26290783212776797,0.005745690907693856,0.95,81.88,33.612150580804354,33,174,0.4105050144211572,2047,0.13264349727188368,0.2624602341811851,-0.2675981421000849,0.8636260307990532
