seed,beta,redundancy,w_sat,w_sat_proven,w_sat_status,w_sat_n_selected,corpus_token_mass,budget_tight,budget_medium,budget_loose,ordered,max_rho_dev,min_token,tight_affords_one,runtime_s
9,-0.5,high,544,True,proven_optimal,9,2291,136,326,816,True,0.0007352941176470562,29,True,0.0348125419113785
9,0.0,low,887,True,proven_optimal,12,2291,222,532,1330,True,0.0005636978579481866,29,True,0.018025542027316988
9,0.0,high,609,True,proven_optimal,9,2291,152,365,914,True,0.0008210180623973162,29,True,0.035488208988681436
9,0.5,low,1143,True,proven_optimal,12,2291,286,686,1714,True,0.00043744531933498365,29,True,0.018691041972488165
9,0.5,high,659,True,proven_optimal,9,2291,165,395,988,True,0.0007587253414265138,29,True,0.04601712501607835
9,1.0,low,1203,True,proven_optimal,12,2291,301,722,1804,True,0.0004156275976725521,29,True,0.017028832924552262
9,1.0,high,842,True,proven_optimal,8,2291,210,505,1263,True,0.0005938242280285055,29,True,0.03612850001081824
9,1.5,low,1359,True,proven_optimal,12,2291,340,815,2038,True,0.0003679175864605977,29,True,0.01712824997957796
9,1.5,high,1022,True,proven_optimal,8,2291,256,613,1533,True,0.0004892367906066397,29,True,0.05884129100013524
9,2.0,low,1711,True,proven_optimal,14,2291,428,1027,2566,True,0.0002922267679719148,29,True,0.019185957964509726
9,2.0,high,1147,True,proven_optimal,8,2291,287,688,1720,True,0.00043591979075841003,29,True,0.08017866697628051
10,-0.5,low,803,True,proven_optimal,11,2139,201,482,1204,True,0.0006226650062266526,24,True,0.018793541006743908
10,-0.5,high,604,True,proven_optimal,8,2139,151,362,906,True,0.0006622516556291647,24,True,0.05080145807005465
10,0.0,low,998,True,proven_optimal,12,2139,250,599,1497,True,0.0005010020040079888,24,True,0.0983642500359565
10,0.0,high,656,True,proven_optimal,8,2139,164,394,984,True,0.0006097560975609762,24,True,0.04334062500856817
10,0.5,low,1104,True,proven_optimal,10,2139,276,662,1656,True,0.00036231884057968955,24,True,0.0169169579166919
10,0.5,high,830,True,proven_optimal,8,2139,208,498,1245,True,0.0006024096385542355,24,True,0.09231425006873906
10,1.0,low,1104,True,proven_optimal,10,2139,276,662,1656,True,0.00036231884057968955,24,True,0.01624554197769612
10,1.0,high,861,True,proven_optimal,8,2139,215,517,1292,True,0.0005807200929153211,24,True,0.03774941700976342
10,1.5,low,1207,True,proven_optimal,10,2139,302,724,1810,True,0.00041425020712515526,24,True,0.023548000026494265
10,1.5,high,1103,True,proven_optimal,8,2139,276,662,1654,True,0.0004533091568450498,24,True,0.02124529192224145
10,2.0,low,1271,True,proven_optimal,10,2139,318,763,1906,True,0.0003933910306845867,24,True,0.016611540922895074
10,2.0,high,1103,True,proven_optimal,8,2139,276,662,1654,True,0.0004533091568450498,24,True,0.015330291935242712
11,-0.5,low,873,True,proven_optimal,12,2326,218,524,1310,True,0.000572737686139746,28,True,0.016468290938064456
11,-0.5,high,460,True,proven_optimal,8,2326,115,276,690,True,0.0,28,True,0.06020787497982383
11,0.0,low,1109,True,proven_optimal,12,2326,277,665,1664,True,0.00045085662759247747,28,True,0.053491540951654315
11,0.0,high,647,True,proven_optimal,8,2326,162,388,970,True,0.0007727975270479526,28,True,0.048088124953210354
11,0.5,low,1208,True,proven_optimal,11,2326,302,725,1812,True,0.00016556291390734668,28,True,0.024349750019609928
11,0.5,high,831,True,proven_optimal,8,2326,208,499,1246,True,0.0006016847172081174,28,True,0.06082400004379451
11,1.0,low,1253,True,proven_optimal,11,2326,313,752,1880,True,0.0003990422984836428,28,True,0.028543875087052584
11,1.0,high,1043,True,proven_optimal,8,2326,261,626,1564,True,0.0004793863854266611,28,True,0.026074540917761624
11,1.5,low,1273,True,proven_optimal,10,2326,318,764,1910,True,0.0003927729772190691,28,True,0.017416417016647756
11,1.5,high,948,True,proven_optimal,7,2326,237,569,1422,True,0.00021097046413509624,28,True,0.026848291978240013
11,2.0,low,1379,True,proven_optimal,11,2326,345,827,2068,True,0.00036258158085566983,28,True,0.017887957976199687
11,2.0,high,1008,True,proven_optimal,7,2326,252,605,1512,True,0.0001984126984126977,28,True,0.034167875070124865
12,-0.5,low,898,True,proven_optimal,11,2356,224,539,1347,True,0.000556792873051215,39,True,0.017363040940836072
12,-0.5,high,648,True,proven_optimal,8,2356,162,389,972,True,0.00030864197530866555,39,True,0.024562082951888442
12,0.0,low,898,True,proven_optimal,11,2356,224,539,1347,True,0.000556792873051215,39,True,0.017663667094893754
12,0.0,high,648,True,proven_optimal,8,2356,162,389,972,True,0.00030864197530866555,39,True,0.02753466705325991
12,0.5,low,1134,True,proven_optimal,12,2356,284,680,1701,True,0.00044091710758376035,39,True,0.02886058297008276
12,0.5,high,648,True,proven_optimal,8,2356,162,389,972,True,0.00030864197530866555,39,True,0.040369249996729195
12,1.0,low,1134,True,proven_optimal,12,2356,284,680,1701,True,0.00044091710758376035,39,True,0.02134412492159754
12,1.0,high,716,True,proven_optimal,8,2356,179,430,1074,True,0.0005586592178771221,39,True,0.03542558301705867
12,1.5,low,1106,True,proven_optimal,11,2356,276,664,1659,True,0.000452079566003627,39,True,0.02003537502605468
12,1.5,high,866,True,proven_optimal,8,2356,216,520,1299,True,0.000577367205542717,39,True,0.02132741699460894
12,2.0,low,1159,True,proven_optimal,11,2356,290,695,1738,True,0.00043140638481453664,39,True,0.019053958007134497
12,2.0,high,946,True,proven_optimal,8,2356,236,568,1419,True,0.0005285412262156508,39,True,0.0304363330360502
13,-0.5,low,627,True,proven_optimal,10,2131,157,376,940,True,0.0007974481658692412,33,True,0.0251644590171054
13,-0.5,high,489,True,proven_optimal,8,2131,122,293,734,True,0.0010224948875254825,33,True,0.021643458981998265
13,0.0,low,911,True,proven_optimal,11,2131,228,547,1366,True,0.0005488474204171645,33,True,0.022786500048823655
13,0.0,high,489,True,proven_optimal,8,2131,122,293,734,True,0.0010224948875254825,33,True,0.059786333004012704
13,0.5,low,1070,True,proven_optimal,11,2131,268,642,1605,True,0.00046728971962617383,33,True,0.02013166609685868
13,0.5,high,666,True,proven_optimal,7,2131,166,400,999,True,0.0007507507507507616,33,True,0.035388584015890956
13,1.0,low,1070,True,proven_optimal,11,2131,268,642,1605,True,0.00046728971962617383,33,True,0.01842729200143367
13,1.0,high,828,True,proven_optimal,8,2131,207,497,1242,True,0.00024154589371983004,33,True,0.09422712493687868
13,1.5,low,1156,True,proven_optimal,11,2131,289,694,1734,True,0.00034602076124568004,33,True,0.028476332896389067
13,1.5,high,919,True,proven_optimal,8,2131,230,551,1378,True,0.0005440696409140244,33,True,0.03595549997407943
13,2.0,low,1138,True,proven_optimal,10,2131,284,683,1707,True,0.00043936731107205307,33,True,0.03374400001484901
13,2.0,high,803,True,proven_optimal,6,2131,201,482,1204,True,0.0006226650062266526,33,True,0.03406387509312481
14,-0.5,low,801,True,proven_optimal,10,2157,200,481,1202,True,0.0006242197253432114,41,True,0.027194749913178384
14,-0.5,high,596,True,proven_optimal,8,2157,149,358,894,True,0.0006711409395973034,41,True,0.02097133407369256
