adv_feasible_at_medium,adversarial_cap,adversarial_indices,adversarial_tokens_after,arm,beta_hat,beta_target,budget_loose,budget_medium,budget_tight,budgets_ordered,corpus_token_mass,elapsed_s,gamma,min_token,n_topics_used,n_unique_relevance,n_unique_tokens,pearson,redundancy_level,relevance_max,relevance_mean,relevance_min,relevance_std,rho_c,rho_dev_loose,rho_dev_medium,rho_dev_tight,rho_realized_loose,rho_realized_medium,rho_realized_tight,rl_condition,saturation_fraction,seed,similarity_max,similarity_mean,similarity_min,similarity_std,spearman,tight_affords_min_token,tokens_cv,tokens_max,tokens_mean,tokens_min,tokens_std,tokens_total,validation_ok,w_sat,w_sat_n_selected,w_sat_pre_intervention,w_sat_pre_proven,w_sat_proven,w_sat_status
True,882,"[23, 16, 15, 2]","[396, 492, 612, 438]",synthetic,0.01346807690979212,,5361,2144,894,True,4052,0.07004618644714355,0.15,27,5,25,23,-0.10552475160774416,low,0.5726539469902237,0.29630241846813554,0.1171116669008645,0.11789313627094655,0.0,0.0,0.00011191941801902416,0.0001398992725237802,1.5,0.599888080581981,0.2501398992725238,D,0.8820335636722606,3,0.5890370035224313,0.11799317109665694,-0.22517232187309233,0.12880217525659363,-0.00692574118214152,True,0.4611115763462972,182,97.48,27,44.94915646223705,2437,True,3574,19,1959,True,True,proven_optimal
True,520,"[23, 16, 15, 2]","[396, 492, 520, 438]",synthetic,0.01346807690979212,,4018,1607,670,True,3960,1.543576955795288,0.7,27,5,25,23,-0.10552475160774416,high,0.5726539469902237,0.29630241846813554,0.1171116669008645,0.11789313627094655,0.0,0.00018663680477781774,0.0001493094438222986,9.331840238896438e-05,1.4998133631952222,0.5998506905561777,0.25009331840238896,D,0.6765151515151515,3,0.8012299938144424,0.20938598612105302,-0.08447757718711067,0.24162943643182208,-0.00692574118214152,True,0.4611115763462972,182,97.48,27,44.94915646223705,2437,True,2679,12,1156,True,True,proven_optimal
,,,,synthetic,0.05261514213864223,0.0,2644,1058,441,True,2269,0.019093036651611328,0.15,14,5,25,24,-0.16223034986001272,low,0.43824158766856025,0.25568902804799404,0.11070390441308722,0.09709436974784234,0.0,0.00028360748723765816,0.00011344299489512988,0.00014180374361882908,1.4997163925127623,0.6001134429948951,0.25014180374361883,A,0.7769942706037902,4,0.3940432970029647,0.08670494838077791,-0.23606629176256697,0.12419995093479823,-0.18849779152303786,True,0.4463823297455641,199,90.76,14,40.5136602477074,2269,True,1763,19,,,True,proven_optimal
,,,,synthetic,0.05261514213864223,0.0,1971,788,328,True,2269,0.12766385078430176,0.7,14,5,25,24,-0.16223034986001272,high,0.43824158766856025,0.25568902804799404,0.11070390441308722,0.09709436974784234,0.0,0.0,0.0003044140030441511,0.0003805175038051889,1.5,0.5996955859969558,0.2496194824961948,A,0.5791097399735566,4,0.7861407686770591,0.17279374690688237,-0.16322646428727605,0.2529275700046855,-0.18849779152303786,True,0.4463823297455641,199,90.76,14,40.5136602477074,2269,True,1314,14,,,True,proven_optimal
,,,,synthetic,0.3459676084238278,0.5,2660,1064,443,True,2157,0.019551992416381836,0.15,12,5,25,24,0.342028450044359,low,0.43824158766856025,0.25568902804799404,0.11070390441308722,0.09709436974784234,0.5,0.0002820078962211259,0.00011280315848849476,0.00014100394811053518,1.5002820078962211,0.6001128031584885,0.24985899605188946,B,0.8219749652294854,4,0.3940432970029647,0.08670494838077791,-0.23606629176256697,0.12419995093479823,0.3966147409392899,True,0.3769705147579873,152,86.28,12,32.525016013319146,2157,True,1773,19,,,True,proven_optimal
,,,,synthetic,0.3459676084238278,0.5,2084,833,347,True,2157,0.11511492729187012,0.7,12,5,25,24,0.342028450044359,high,0.43824158766856025,0.25568902804799404,0.11070390441308722,0.09709436974784234,0.5,0.00035997120230391033,0.00028797696184301724,0.00017998560115189965,1.500359971202304,0.599712023038157,0.2498200143988481,B,0.6439499304589708,4,0.7861407686770591,0.17279374690688237,-0.16322646428727605,0.2529275700046855,0.3966147409392899,True,0.3769705147579873,152,86.28,12,32.525016013319146,2157,True,1389,14,,,True,proven_optimal
,,,,synthetic,-0.2599895631816099,-0.5,2520,1008,420,True,2315,0.01877593994140625,0.15,26,5,25,23,-0.4854684435706833,low,0.43824158766856025,0.25568902804799404,0.11070390441308722,0.09709436974784234,-0.5,0.0,0.0,0.0,1.5,0.6,0.25,C,0.7257019438444925,4,0.3940432970029647,0.08670494838077791,-0.23606629176256697,0.12419995093479823,-0.4832628291538749,True,0.4747015735221332,201,92.6,26,43.95736570814953,2315,True,1680,19,,,True,proven_optimal
,,,,synthetic,-0.2599895631816099,-0.5,1770,708,295,True,2315,0.2833218574523926,0.7,26,5,25,23,-0.4854684435706833,high,0.43824158766856025,0.25568902804799404,0.11070390441308722,0.09709436974784234,-0.5,0.0,0.0,0.0,1.5,0.6,0.25,C,0.509719222462203,4,0.7861407686770591,0.17279374690688237,-0.16322646428727605,0.2529275700046855,-0.4832628291538749,True,0.4747015735221332,201,92.6,26,43.95736570814953,2315,True,1180,14,,,True,proven_optimal
True,793,"[10, 17, 5, 18]","[462, 522, 372, 258]",synthetic,0.05261514213864223,,4662,1865,777,True,3614,0.03665900230407715,0.15,14,5,25,24,-0.16223034986001272,low,0.43824158766856025,0.25568902804799404,0.11070390441308722,0.09709436974784234,0.0,0.0,6.435006435012713e-05,0.0,1.5,0.6000643500643501,0.25,D,0.8599889319313779,4,0.3940432970029647,0.08670494838077791,-0.23606629176256697,0.12419995093479823,-0.18849779152303786,True,0.4463823297455641,199,90.76,14,40.5136602477074,2269,True,3108,19,1763,True,True,proven_optimal
True,591,"[10, 17, 5, 18]","[462, 522, 372, 258]",synthetic,0.05261514213864223,,3988,1595,665,True,3614,0.5216500759124756,0.7,14,5,25,24,-0.16223034986001272,high,0.43824158766856025,0.25568902804799404,0.11070390441308722,0.09709436974784234,0.0,0.000188040616773133,0.0001504324934185064,9.402030838662201e-05,1.4998119593832269,0.5998495675065815,0.2500940203083866,D,0.7357498616491422,4,0.7861407686770591,0.17279374690688237,-0.16322646428727605,0.2529275700046855,-0.18849779152303786,True,0.4463823297455641,199,90.76,14,40.5136602477074,2269,True,2659,14,1314,True,True,proven_optimal
